Hours_Coding,Lines_of_Code,Bugs_Found,Bugs_Fixed,AI_Usage_Hours,Sleep_Hours,Cognitive_Load,Task_Success_Rate,Coffee_Intake,Stress_Level,Task_Duration_Hours,Commits,Errors
7,416,9,7,6,5.9,92,34,7,99,10.5,20,3
4,269,16,13,5,5.1,85,36,2,100,9.5,17,8
11,439,3,0,2,6.2,38,79,2,55,18.3,35,2
8,472,15,9,4,4.2,26,94,5,30,12.6,28,4
5,265,19,16,5,8.1,82,33,6,82,7.0,25,9
7,196,14,12,0,8.1,61,39,1,72,6.4,21,8
10,516,4,3,6,6.9,61,56,0,66,5.1,16,5
3,234,5,1,6,5.8,78,40,2,86,2.9,15,2
7,440,16,13,6,8.0,39,75,3,43,10.6,20,9
11,297,0,0,0,6.8,92,30,0,100,13.9,11,8
11,715,18,13,0,8.1,36,73,3,53,15.4,22,5
8,528,3,0,0,7.2,46,63,7,62,19.7,16,3
5,190,16,14,0,7.9,66,39,3,83,6.0,10,3
4,314,8,7,6,7.0,21,92,0,30,5.6,10,7
8,534,1,0,6,6.1,82,42,0,100,6.1,14,6
8,312,7,7,1,8.8,81,30,6,88,4.8,33,0
3,221,14,11,5,6.7,38,82,3,40,6.2,8,5
6,336,6,6,4,7.0,36,78,1,40,9.8,22,7
5,255,5,0,2,5.1,88,30,6,95,10.1,12,2
2,236,0,0,6,7.1,58,56,4,76,1.6,14,8
8,612,14,10,2,6.9,90,30,5,100,13.1,10,9
6,393,6,2,5,4.9,58,61,4,75,6.0,17,1
2,190,16,15,5,4.3,55,57,1,55,1.9,7,5
5,369,1,0,2,7.0,59,51,6,73,2.6,22,0
1,224,8,4,6,7.8,64,62,5,81,0.8,7,1
10,600,8,2,2,6.6,23,85,6,30,11.2,12,4
6,369,12,8,1,5.1,44,63,0,59,4.4,13,0
9,696,5,3,3,7.3,88,30,5,100,22.2,30,7
1,246,5,1,6,4.4,49,71,7,63,1.1,7,0
11,510,19,14,6,6.2,87,30,3,92,8.4,50,8
11,546,19,15,4,4.8,48,62,4,56,9.9,15,9
10,430,2,0,0,4.9,92,30,5,98,16.8,10,2
3,177,16,16,3,5.0,87,30,3,100,1.9,12,1
7,507,16,14,5,5.9,70,56,6,80,15.6,19,0
4,410,11,10,6,4.3,43,71,1,58,9.7,22,8
9,669,15,15,2,6.0,33,75,5,38,8.9,20,3
3,159,14,11,3,6.6,88,30,3,100,4.2,9,0
5,392,12,10,4,6.4,37,84,6,56,2.7,14,0
3,317,0,0,5,5.9,61,53,6,76,5.3,8,6
7,413,16,14,0,8.2,76,30,6,87,9.3,21,1
5,265,2,0,0,4.7,31,70,1,47,5.2,5,6
9,455,14,11,4,6.5,36,78,0,40,8.2,40,6
7,571,3,0,4,4.3,49,64,1,61,12.7,25,9
2,92,3,0,2,4.4,94,30,1,100,2.7,6,8
4,234,17,16,6,6.9,42,84,7,46,3.4,18,6
9,486,16,12,0,6.8,20,80,4,31,16.9,36,0
2,140,18,16,5,8.4,51,62,6,59,3.3,7,7
10,607,10,4,3,6.8,28,85,3,30,22.2,13,7
9,582,19,15,5,8.8,34,87,5,36,6.6,23,3
10,454,2,0,1,4.2,47,66,4,47,20.7,11,7
5,316,7,2,1,4.5,43,61,6,60,9.2,6,3
2,180,13,10,4,4.2,79,33,2,90,1.5,12,7
4,230,0,0,2,4.9,54,51,1,62,7.6,14,4
7,495,13,8,1,6.7,46,54,2,54,9.7,8,3
8,352,1,1,0,7.2,39,67,6,56,19.1,32,5
3,269,3,0,5,4.2,84,40,4,100,2.3,17,1
1,211,18,12,5,8.7,68,51,3,74,1.8,7,1
4,344,5,4,4,8.2,20,100,4,30,5.1,20,1
2,318,0,0,6,5.5,29,94,7,41,4.8,10,8
8,578,16,10,6,4.4,66,54,3,82,9.3,14,9
4,372,7,6,3,4.8,78,30,3,79,9.7,11,2
2,216,18,12,4,4.6,81,32,6,94,4.6,12,9
6,282,0,0,3,4.6,37,73,0,39,6.2,21,3
6,528,4,1,6,6.6,65,61,6,69,12.6,24,9
10,716,15,15,4,5.2,51,57,1,64,24.9,14,7
4,260,5,2,4,5.8,46,70,4,48,4.0,8,3
6,430,7,7,4,8.9,37,78,3,43,8.2,22,9
2,318,12,6,6,7.4,58,70,6,75,3.1,10,9
10,432,15,10,3,8.7,68,44,6,80,10.9,13,6
2,144,2,0,3,4.7,63,56,4,72,1.1,11,4
10,786,18,12,4,5.9,91,30,4,100,9.4,14,8
4,199,11,11,1,6.8,73,34,7,88,4.3,9,3
8,586,15,15,2,4.4,53,61,3,61,11.1,10,2
7,453,10,10,6,4.0,90,34,5,91,5.9,34,1
9,423,9,3,2,7.4,55,52,7,59,20.2,38,0
8,530,19,18,2,7.2,37,78,2,53,15.3,34,5
5,400,3,0,3,6.1,57,62,1,60,3.4,13,9
2,133,11,10,3,6.4,78,33,1,94,3.6,7,1
5,194,1,0,1,6.1,28,79,5,36,9.0,21,7
8,504,18,12,2,4.1,92,30,0,100,19.3,34,5
10,574,4,4,2,5.7,91,30,7,92,5.1,22,4
9,591,7,2,4,4.9,70,50,5,87,9.0,22,1
9,726,6,1,3,4.5,54,50,0,64,21.2,21,6
1,98,13,11,2,8.8,24,92,0,36,2.4,5,1
9,502,2,0,5,7.0,33,86,5,40,17.5,23,4
7,300,17,12,1,7.6,49,51,1,49,14.2,29,1
9,374,15,9,5,5.6,23,91,2,39,6.1,32,9
8,558,18,18,5,6.0,58,60,1,69,12.2,21,1
1,149,18,18,6,5.2,83,40,6,86,1.0,10,6
8,622,17,12,6,4.5,44,84,1,56,6.9,14,8
8,571,19,18,1,4.9,47,52,1,55,17.0,25,4
11,800,15,11,5,8.0,85,36,7,91,8.5,49,6
3,180,7,7,2,7.4,41,65,5,45,4.3,5,3
1,174,0,0,3,6.7,50,64,5,54,2.4,7,1
8,422,16,16,1,6.4,42,63,6,58,7.0,17,2
3,200,11,6,4,8.6,67,51,6,75,7.4,10,1
3,168,10,6,5,4.4,39,72,7,44,7.5,8,4
1,87,4,0,1,5.4,57,49,5,75,1.6,3,5
11,330,11,9,0,5.7,74,35,1,89,9.2,44,6
5,205,16,11,0,7.9,87,30,2,88,5.7,5,2
10,580,5,0,6,9.0,20,93,0,30,13.5,46,3
7,427,0,0,3,5.2,26,87,4,41,7.8,31,7
10,282,4,0,2,8.4,76,30,0,80,10.6,42,3
9,579,13,7,3,8.2,31,84,6,45,22.0,21,6
7,502,4,0,3,5.1,24,87,6,36,5.6,17,5
9,297,0,0,3,6.0,69,39,0,81,17.7,39,6
8,236,17,15,3,6.0,61,43,4,73,4.0,27,0
2,272,15,11,4,8.9,31,90,1,45,3.4,12,2
1,204,8,8,4,4.9,37,75,2,50,2.3,8,5
7,642,18,12,6,8.0,85,39,2,92,7.5,13,2
7,493,4,0,1,5.7,93,30,0,100,6.1,29,6
8,376,1,0,0,7.7,36,71,4,53,14.4,16,8
5,398,14,11,3,6.1,87,30,7,90,9.6,8,2
3,183,6,1,6,6.9,90,33,6,99,5.6,15,0
8,311,3,0,1,8.2,81,30,3,81,9.1,9,9
6,162,0,0,0,8.0,60,42,1,64,6.0,18,5
11,558,12,11,5,8.3,53,61,7,65,26.5,16,0
3,202,19,19,2,4.3,89,30,0,89,7.0,5,0
1,106,6,0,4,7.5,64,50,2,71,1.4,7,7
3,264,14,14,5,4.7,77,42,6,79,6.6,11,8
5,170,13,12,0,6.1,70,30,7,72,7.0,10,1
3,233,18,17,5,6.7,53,65,7,59,4.0,11,8
1,74,19,13,2,6.0,63,40,5,66,0.8,3,4
5,505,17,13,6,6.6,34,85,5,36,6.8,26,7
10,250,9,8,0,9.0,89,30,4,100,15.7,10,6
7,313,8,5,5,4.7,69,43,4,76,3.8,33,6
7,480,7,2,4,7.4,51,69,0,53,9.7,32,3
11,404,9,4,4,6.0,86,30,7,92,22.7,26,1
9,640,16,14,1,4.7,22,89,3,39,16.7,37,4
10,560,1,0,5,4.8,93,30,2,100,17.7,15,2
10,358,5,4,3,8.7,70,49,0,80,23.2,13,8
3,202,4,1,5,8.4,86,31,3,100,1.6,11,5
7,568,8,8,6,8.5,67,52,6,72,11.3,27,0
1,67,4,4,0,9.0,36,69,4,43,2.1,1,2
4,244,17,12,0,5.0,26,71,5,30,6.3,16,3
4,322,19,14,6,5.8,32,97,1,41,4.6,10,8
5,350,8,4,5,7.3,85,38,7,100,3.9,10,5
7,601,16,10,6,6.4,23,95,6,30,15.9,13,3
7,562,16,13,2,6.1,29,79,5,32,10.1,23,0
11,782,11,5,6,5.8,36,81,2,46,24.8,50,7
4,212,6,0,4,7.0,71,43,2,85,6.7,12,1
7,474,2,0,6,6.9,25,89,5,30,12.9,13,7
11,748,9,3,0,4.8,88,30,6,96,23.2,44,5
3,284,1,0,4,6.4,93,30,5,100,5.5,16,7
6,228,2,0,0,6.8,28,83,3,46,7.8,12,5
2,67,15,12,1,6.9,40,58,0,52,3.1,3,4
10,414,1,0,3,5.1,43,75,4,58,21.1,33,4
9,549,9,9,0,7.7,23,85,3,30,11.2,36,9
5,264,5,3,4,4.1,43,79,1,43,6.4,14,9
6,318,10,8,1,5.8,78,30,5,97,4.1,19,7
4,212,6,3,0,7.9,22,73,1,34,9.3,16,6
11,341,14,11,2,6.8,87,30,1,87,7.5,13,7
10,848,5,3,6,5.3,59,66,3,63,18.0,46,7
7,303,19,18,3,7.5,67,41,4,71,9.3,24,6
9,549,8,5,0,6.8,73,31,6,86,11.8,27,1
7,224,19,15,1,8.0,54,49,2,67,13.0,8,8
1,131,11,7,2,7.7,75,38,0,82,0.6,3,6
1,233,18,18,5,7.1,59,51,7,62,1.7,7,5
9,359,19,13,1,6.4,87,30,2,93,18.4,10,8
11,906,2,0,6,4.7,65,61,4,84,23.7,28,0
9,433,14,13,1,5.3,32,73,7,50,7.6,28,1
4,262,1,1,2,6.1,46,64,2,60,9.2,14,0
9,645,1,0,1,7.0,25,81,5,30,16.3,37,9
3,234,2,0,2,6.6,36,81,5,54,6.8,14,2
7,343,5,1,0,5.4,55,48,3,63,10.3,14,4
6,404,14,9,2,4.0,21,82,1,33,9.5,8,0
8,558,9,8,2,6.5,71,40,7,84,18.7,10,3
11,665,8,3,3,5.4,85,30,4,98,25.3,47,7
9,667,0,0,2,7.7,71,39,4,80,12.6,29,5
5,297,15,9,2,4.1,62,55,2,77,5.2,12,0
1,198,5,0,5,6.9,41,85,3,45,1.3,8,0
3,186,8,3,0,8.7,74,31,2,79,3.8,9,2
10,560,3,0,6,4.9,86,30,2,87,10.7,16,9
8,493,1,0,3,6.4,79,31,4,91,8.3,19,7
11,879,3,0,5,4.5,77,46,2,89,24.4,38,7
6,384,0,0,4,7.1,31,82,1,49,3.8,28,2
8,528,18,15,0,6.8,88,30,2,100,14.8,32,6
9,288,9,5,0,6.0,58,37,7,76,7.6,9,2
4,296,14,13,4,6.6,32,78,1,32,4.8,20,3
1,175,18,15,6,8.5,60,64,4,67,0.6,10,8
1,118,15,11,2,5.0,76,30,3,91,1.0,5,3
10,585,3,2,5,4.1,72,50,5,73,20.4,45,2
4,268,1,0,1,8.3,31,72,7,38,9.1,17,4
7,545,12,10,3,6.9,32,82,1,37,6.6,24,6
2,73,0,0,1,8.5,93,30,3,100,2.9,3,4
3,210,16,10,4,7.0,76,46,3,86,4.3,7,3
1,58,12,10,0,8.1,59,42,1,75,2.2,2,7
5,185,3,0,6,6.1,64,59,4,82,10.1,26,3
1,50,6,6,0,7.7,54,41,0,64,1.5,3,1
8,632,16,10,3,8.6,22,88,3,30,14.7,19,9
1,34,8,4,0,6.9,24,82,3,30,2.2,1,5
11,594,3,2,0,4.9,30,71,4,40,5.7,11,1
1,144,18,12,3,5.3,90,30,4,97,1.3,6,2
2,202,0,0,5,5.0,75,44,2,83,4.6,9,0
2,250,9,7,5,5.2,29,96,4,30,4.0,9,4
6,324,3,0,3,5.5,53,58,3,68,9.5,21,8
7,586,8,7,6,6.8,86,35,1,91,10.9,27,1
5,264,12,8,4,6.9,91,30,0,100,6.0,14,6
1,51,13,13,0,6.1,50,46,6,57,1.5,1,4
1,140,9,7,6,7.1,94,31,2,100,1.8,10,1
3,147,5,0,0,4.4,90,30,6,100,4.0,3,7
2,144,15,14,4,4.4,85,30,1,96,3.9,10,5
5,405,5,0,5,4.9,89,32,0,93,11.1,15,3
10,412,16,15,6,6.6,60,69,0,78,8.1,26,3
6,342,9,8,2,5.1,82,30,0,99,8.4,26,1
7,415,17,13,2,5.4,51,62,5,59,9.2,16,2
4,232,17,13,2,6.0,39,76,1,40,7.5,18,6
7,426,2,0,5,8.1,76,41,7,95,7.0,12,2
11,499,19,13,5,4.1,69,55,2,80,19.6,16,4
8,692,14,11,4,7.2,44,63,2,45,18.0,20,9
11,550,14,13,0,7.3,31,73,0,40,14.7,22,5
1,120,3,1,4,8.0,90,30,1,90,2.3,7,5
6,332,8,3,4,8.7,58,53,5,61,14.9,22,3
8,380,18,14,5,4.1,36,82,0,47,5.7,21,5
5,243,16,10,2,4.8,64,44,4,72,4.8,12,2
4,251,10,6,1,8.4,30,83,7,33,9.6,5,6
2,130,8,3,0,6.3,89,30,6,97,4.8,4,6
6,464,9,4,5,6.8,42,80,2,47,4.2,23,3
6,288,17,16,2,7.3,89,30,6,89,3.2,8,1
11,501,19,15,6,7.4,57,60,3,66,9.0,50,6
1,72,12,7,1,8.7,21,92,0,34,2.5,4,2
9,527,7,4,1,9.0,91,30,4,100,7.7,28,0
11,870,6,3,5,7.6,56,58,2,61,16.6,16,1
6,294,16,12,3,5.4,68,48,6,85,13.2,27,9
3,84,14,8,0,8.4,71,34,7,90,1.6,9,8
4,260,19,14,1,4.2,52,48,5,67,6.8,9,7
11,772,14,13,5,5.2,41,83,1,55,11.6,38,5
4,297,0,0,5,8.5,24,92,2,39,8.9,9,5
3,244,13,7,2,5.3,37,70,7,44,3.2,5,0
10,526,4,3,6,5.1,57,61,6,69,18.7,16,1
3,159,10,10,3,4.7,56,50,1,66,5.5,12,3
3,174,15,11,0,8.3,83,30,6,89,2.8,12,2
4,280,1,0,4,6.5,29,84,1,45,2.3,12,0
7,397,7,4,6,7.4,61,56,5,78,9.2,13,7
4,416,10,5,6,5.2,67,53,5,85,4.3,22,6
9,501,17,15,2,7.8,63,54,0,75,19.1,20,3
1,61,2,0,1,7.8,35,63,0,49,2.1,2,8
8,594,0,0,1,5.6,73,38,2,73,11.3,17,3
7,313,10,9,2,6.1,54,63,5,69,12.0,16,0
2,165,15,13,5,5.0,47,72,4,51,3.4,13,9
8,404,17,15,1,8.9,21,88,6,30,17.2,17,0
1,163,15,15,3,7.2,32,87,6,41,1.4,4,0
11,539,9,6,0,8.7,60,48,6,78,11.6,44,0
9,639,17,11,6,5.5,78,50,2,82,9.3,33,3
9,429,5,2,6,7.9,88,32,6,94,14.2,33,0
2,89,18,18,3,7.8,72,41,3,85,2.8,11,1
7,289,3,3,1,7.5,64,50,1,66,9.7,22,3
10,412,12,10,6,8.8,39,89,6,51,6.8,26,6
3,161,13,9,4,6.0,43,80,7,55,5.8,7,1
7,315,2,0,0,4.7,80,30,1,89,6.5,14,7
10,430,9,4,0,7.4,77,30,0,78,8.9,40,6
9,705,5,3,6,7.6,46,72,6,51,11.9,15,8
4,274,0,0,2,6.9,45,61,7,52,3.8,18,5
1,183,13,13,6,5.0,26,95,4,30,1.7,10,3
2,200,7,4,2,6.5,61,43,7,72,2.5,10,5
1,179,18,13,6,5.6,66,58,5,80,1.4,8,3
5,460,13,7,4,6.1,72,46,5,79,7.9,9,6
5,460,9,7,5,7.2,78,48,0,84,4.5,10,8
11,550,16,12,0,7.7,57,52,3,70,8.9,11,2
7,419,8,6,6,5.2,88,33,2,100,15.8,20,2
9,579,5,4,4,6.0,72,41,2,85,12.3,31,1
9,372,10,8,2,5.3,34,76,4,46,11.9,20,0
3,150,6,6,2,5.0,45,71,0,45,1.7,8,0
3,102,16,13,0,7.9,67,39,0,85,4.5,12,2
3,117,0,0,3,8.5,38,72,3,38,4.8,6,6
4,396,4,0,6,5.9,28,99,6,31,6.5,10,8
8,242,8,3,1,7.8,83,30,2,92,15.3,25,1
6,356,17,17,2,8.5,73,39,6,75,5.1,20,6
8,565,1,0,5,8.2,70,50,0,89,8.0,37,0
1,237,10,10,5,4.9,58,54,6,66,2.1,6,1
8,228,5,3,2,8.8,23,79,5,30,19.2,26,5
4,171,7,7,3,5.9,22,87,4,30,3.1,15,4
11,668,3,3,3,5.7,83,30,2,88,16.4,14,7
1,137,17,11,4,4.3,48,74,3,59,0.9,6,1
8,505,10,9,5,6.4,30,87,4,30,5.0,29,0
4,292,4,2,4,4.5,77,40,1,92,4.6,8,6
6,356,14,10,5,5.2,94,30,5,98,4.7,23,5
8,442,17,11,6,5.6,46,78,3,54,15.4,38,7
4,460,1,0,6,8.0,40,78,7,49,6.3,18,7
3,214,10,4,1,8.4,58,44,4,70,2.4,4,1
9,531,12,9,6,5.5,65,56,0,79,4.7,33,7
3,233,3,0,1,8.3,85,30,1,96,6.3,13,5
9,768,6,1,6,8.3,55,71,3,59,7.7,42,8
2,78,10,10,0,7.8,94,30,0,98,3.4,6,6
2,230,3,0,6,4.7,84,42,5,100,2.3,12,1
2,242,14,13,4,7.5,82,31,7,93,3.3,12,7
6,254,0,0,2,8.7,54,51,1,56,6.8,26,8
3,256,2,0,4,7.4,50,58,2,56,2.0,10,6
9,665,13,13,2,5.7,47,64,7,63,8.5,20,3
4,339,5,4,3,6.5,20,91,0,38,3.5,19,8
1,93,17,12,4,7.2,44,63,4,61,1.4,7,3
4,281,0,0,3,6.6,62,53,6,62,7.3,7,3
1,78,5,5,1,4.6,86,30,3,90,1.0,4,8
5,233,5,0,1,5.6,82,30,1,83,2.6,16,7
4,156,15,14,0,8.0,70,41,0,70,6.2,8,3
8,608,4,0,6,8.3,21,100,2,30,13.7,22,7
8,520,16,10,4,4.7,83,30,6,93,19.4,20,7
7,296,9,3,3,8.8,93,30,3,100,11.8,31,6
3,181,17,17,2,5.6,88,30,3,100,4.3,14,9
1,43,6,6,1,7.3,28,71,0,44,1.6,4,5
1,231,2,0,6,7.8,21,100,2,30,2.4,9,7
11,441,12,10,1,8.1,53,56,5,59,23.7,12,6
3,192,14,11,2,8.7,79,33,6,85,3.4,11,4
6,414,19,18,6,5.6,80,49,5,89,5.8,24,3
7,532,18,17,6,8.3,50,72,1,52,7.2,20,1
6,273,2,0,3,4.7,29,77,0,40,9.1,15,7
6,273,3,1,3,7.5,55,61,6,57,11.9,15,8
6,450,4,2,4,7.7,68,50,1,78,9.0,16,3
3,227,0,0,4,7.4,89,34,7,100,1.9,10,3
6,452,3,0,5,5.3,68,45,5,71,11.7,11,4
8,522,11,6,5,8.4,22,97,7,37,16.9,13,1
11,352,9,5,0,4.8,93,30,7,100,11.9,11,6
11,484,19,13,1,4.3,24,79,6,41,20.1,23,4
2,224,12,6,4,7.6,80,32,3,83,2.7,12,5
5,432,13,13,3,6.4,45,67,1,50,11.4,13,3
1,112,4,0,2,8.2,91,30,7,100,2.2,4,7
1,108,3,2,3,5.9,24,81,2,30,1.6,4,7
5,147,13,10,1,4.8,34,67,4,36,9.4,11,4
3,256,9,9,5,8.2,35,79,5,39,6.8,8,5
4,238,16,15,3,6.7,20,100,5,36,6.0,11,2
3,150,9,8,0,4.9,35,67,2,48,3.4,9,0
1,79,6,1,1,7.6,56,49,6,64,2.0,5,8
1,144,15,13,5,6.6,22,99,6,30,0.9,9,8
5,241,0,0,2,7.0,71,37,6,83,6.4,7,2
6,316,16,16,5,6.3,66,46,1,68,13.4,23,3
3,363,8,6,6,8.1,32,95,0,42,5.8,18,6
9,612,5,4,0,8.1,74,30,7,75,11.8,9,1
5,192,18,16,1,7.5,40,73,3,54,4.6,11,2
8,544,12,8,2,4.5,85,30,4,97,9.7,18,5
1,37,2,0,0,8.2,73,37,0,91,1.1,3,7
5,375,6,5,5,7.4,46,79,0,61,4.3,25,0
